Station,Language,Date,Time,URL_audio,URL_text,audio_file,pdf_file,audio_dur
gorakhpur,bhojpuri,2025-06-19,1800,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhojjjjj-gorakh.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhoj-gorakh-8.pdf,../data/raw/audio/bhojpuri_gorakhpur_2025-06-19_1800.mp3,../data/raw/text/bhojpuri_gorakhpur_2025-06-19_1800.pdf,4.97
gorakhpur,hindi,2025-06-19,720,https://www.newsonair.gov.in/wp-content/uploads/2025/06/GORAKHPUR-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/GORAKHPUR-4.pdf,../data/raw/audio/hindi_gorakhpur_2025-06-19_720.mp3,../data/raw/text/hindi_gorakhpur_2025-06-19_720.pdf,9.95
guwahati,assamese,2025-06-19,755,https://www.newsonair.gov.in/wp-content/uploads/2025/06/asam-755-9.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/asam-755-9.pdf,../data/raw/audio/assamese_guwahati_2025-06-19_755.mp3,../data/raw/text/assamese_guwahati_2025-06-19_755.pdf,4.68
hyderabad,telugu,2025-06-19,1310,https://www.newsonair.gov.in/wp-content/uploads/2025/06/tel-1310-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/tel-1310-3.pdf,../data/raw/audio/telugu_hyderabad_2025-06-19_1310.mp3,../data/raw/text/telugu_hyderabad_2025-06-19_1310.pdf,9.96
hyderabad,urdu,2025-06-19,1750,https://www.newsonair.gov.in/wp-content/uploads/2025/06/h-urdu-5.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/urdu-1750-hyd.pdf,../data/raw/audio/urdu_hyderabad_2025-06-19_1750.mp3,../data/raw/text/urdu_hyderabad_2025-06-19_1750.pdf,9.31
imphal,manipuri,2025-06-19,730,https://www.newsonair.gov.in/wp-content/uploads/2025/06/impal-0730.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/imphal-073000.pdf,../data/raw/audio/manipuri_imphal_2025-06-19_730.mp3,../data/raw/text/manipuri_imphal_2025-06-19_730.pdf,9.97
itanagar,english,2025-06-19,1950,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Itanagarenglish-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Itanagarenglish-3.pdf,../data/raw/audio/english_itanagar_2025-06-19_1950.mp3,../data/raw/text/english_itanagar_2025-06-19_1950.pdf,5.18
itanagar,hindi,2025-06-19,1945,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Itangarhindi-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Itangarhindi-2.pdf,../data/raw/audio/hindi_itanagar_2025-06-19_1945.mp3,../data/raw/text/hindi_itanagar_2025-06-19_1945.pdf,5.07
jaipur,hindi,2025-06-19,900,https://www.newsonair.gov.in/wp-content/uploads/2025/06/jaipur-09000.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/jaipur-0900-1.pdf,../data/raw/audio/hindi_jaipur_2025-06-19_900.mp3,../data/raw/text/hindi_jaipur_2025-06-19_900.pdf,10.19
jaipur,rajasthani,2025-06-19,1845,https://www.newsonair.gov.in/wp-content/uploads/2025/06/RAJASTHANI1845-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Rajasthani-1845-3.pdf,../data/raw/audio/rajasthani_jaipur_2025-06-19_1845.mp3,../data/raw/text/rajasthani_jaipur_2025-06-19_1845.pdf,12.24
